iter	RMSE
499	0.3128411078
500	0.3127133969
501	0.3125226775
502	0.3123368529
503	0.3121285166
504	0.3119074876
505	0.311809343
506	0.3116395737
507	0.3115159466
508	0.3112654481
509	0.3109127557
510	0.3106340033
511	0.3104403805
512	0.3101935457
513	0.3099955195
514	0.3097465365
515	0.3094997463
516	0.3093040753
517	0.3090864606
518	0.3089031416
519	0.3087677298
520	0.3085181003
521	0.308317809
522	0.3081891775
523	0.307970037
524	0.3077606289
525	0.3075488242
526	0.3073759681
527	0.3071685364
528	0.3070874487
529	0.3068867749
530	0.306714053
531	0.3064820469
532	0.3063098995
533	0.3061639287
534	0.3060319377
535	0.3058754842
536	0.3056993407
537	0.3055605424
538	0.3053814779
539	0.3052196176
540	0.3051092719
541	0.3049314741
542	0.3047099675
543	0.304556749
544	0.3043786432
545	0.3041776936
546	0.3040251684
547	0.3037804185
548	0.3036123885
549	0.3034071901
550	0.303163504
551	0.3029418379
552	0.3027615841
553	0.3025722068
554	0.302350669
555	0.3021647291
556	0.3020524054
557	0.3018596702
558	0.3016940808
559	0.3014261223
560	0.301347151
561	0.3011850681
562	0.3009517293
563	0.3008133467
564	0.3006328347
565	0.3005136549
566	0.3004129786
567	0.300153347
568	0.2998776077
569	0.2995732186
570	0.2993505185
571	0.299183076
572	0.2989805729
573	0.298771104
574	0.2986281524
575	0.2983265209
576	0.2981634317
577	0.2979883122
578	0.2977438988
579	0.2976199684
580	0.2973812338
581	0.297212367
582	0.2970685944
583	0.296915136
584	0.2967275839
585	0.2965473025
586	0.2963335332
587	0.2961654485
588	0.2960206093
589	0.2957380274
590	0.2955428352
591	0.295395527
592	0.2952764277
593	0.2951563703
594	0.2949870995
595	0.2948206034
596	0.2945751289
597	0.2944198968
598	0.2942596545
599	0.2940946647
600	0.293892999
601	0.2936900471
602	0.2934932025
603	0.2933559891
604	0.2931876147
605	0.293059306
606	0.2929403762
607	0.2927893987
608	0.2926479568
609	0.2924959896
610	0.2923312635
611	0.2922046097
612	0.2921233938
613	0.2920143646
614	0.2918108804
615	0.2916518336
616	0.2914622668
617	0.2913001356
618	0.2911637883
619	0.291033199
620	0.290839734
621	0.2906320541
622	0.2903664392
623	0.2902171712
624	0.2900932367
625	0.289888989
626	0.2897745197
627	0.2895962424
628	0.2894452225
629	0.2892712841
630	0.2891078251
631	0.2889337466
632	0.2887722671
633	0.2886274303
634	0.2884871703
635	0.2882976248
636	0.2881866455
637	0.2879338392
638	0.2877938266
639	0.2875398531
640	0.2873340092
641	0.2872741724
642	0.2870835886
643	0.286954626
644	0.2867898224
645	0.2867193011
646	0.2866339788
647	0.2863858963
648	0.2861750514
649	0.2860205755
650	0.2858507264
651	0.285696717
652	0.2855012082
653	0.2853689193
654	0.2851625547
655	0.2849932589
656	0.2847887409
657	0.2845471051
658	0.2843755823
659	0.2842324421
660	0.2841086464
661	0.2839531332
662	0.2838107433
663	0.2837014936
664	0.2834991248
665	0.2833383466
666	0.2832093699
667	0.2830935216
668	0.2828911187
669	0.2827574592
670	0.2826578303
671	0.2823850555
672	0.2821646332
673	0.2819635215
674	0.2818322155
675	0.2817005364
676	0.2815499887
677	0.2814440513
678	0.2811400225
679	0.2809538957
680	0.2807853091
681	0.2807317849
682	0.2804787908
683	0.2802165905
684	0.2800761313
685	0.2798628885
686	0.2797056454
687	0.2795413558
688	0.2794375063
689	0.2793377348
690	0.2792173578
691	0.2790875329
692	0.2789688552
693	0.2787899504
694	0.2786641341
695	0.2785406435
696	0.2783110903
697	0.2781364683
698	0.2780645036
699	0.2779556935
700	0.277775472
701	0.2775963409
702	0.2774527519
703	0.2773076161
704	0.2771743427
705	0.2770344525
706	0.2768817275
707	0.2766505547
708	0.2764975299
709	0.2763695528
710	0.2762160139
711	0.2761328754
712	0.275883703
713	0.2756844204
714	0.2753915291
715	0.2751655979
716	0.2750299273
717	0.2748626163
718	0.2747409948
719	0.2745604004
720	0.2744069562
721	0.2742292927
722	0.2740975462
723	0.2739664238
724	0.2737739747
725	0.2734731
726	0.2733486656
727	0.2731283146
728	0.2729194362
729	0.2727358818
730	0.2725934017
731	0.2724674747
732	0.2723782167
733	0.2722296589
734	0.2720754206
735	0.2719343109
736	0.2716936962
737	0.271536226
738	0.2714531212
739	0.271286776
740	0.2711274926
741	0.2710096576
742	0.2708951322
743	0.2706944027
744	0.2705253693
745	0.2702918126
746	0.2700999801
747	0.2699682951
748	0.2697573104
749	0.269630193
750	0.2694810764
751	0.2693167012
752	0.2691297357
753	0.2690457374
754	0.2688701246
755	0.2686591628
756	0.2684909798
757	0.2683443031
758	0.2682497852
759	0.2681112413
760	0.2679256242
761	0.2677963907
762	0.2676654543
763	0.2673972034
764	0.2673043942
765	0.2671188079
766	0.2669632517
767	0.2668147148
768	0.2666694623
769	0.2664978074
770	0.2663580224
771	0.2661627101
772	0.2660103149
773	0.265810356
774	0.2656768328
775	0.2655174004
776	0.265389757
777	0.2652027244
778	0.2650769612
779	0.2648916362
780	0.2647863279
781	0.2645894313
782	0.2644141404
783	0.2643395331
784	0.2641855377
785	0.2639462129
786	0.263782157
787	0.263640012
788	0.2635376704
789	0.2633322809
790	0.2631066496
791	0.2630115845
792	0.2628751141
793	0.2627217391
794	0.2625676499
795	0.2623891268
796	0.2622708486
797	0.2621901263
798	0.2620619959
799	0.2619868485
800	0.2618106781
801	0.2616944799
802	0.2614928958
803	0.2613797272
804	0.2612612433
805	0.2611663515
806	0.260934307
807	0.2607829072
808	0.2607029169
809	0.2605343145
810	0.2603542627
811	0.2602029976
812	0.2600961423
813	0.259969692
814	0.2597690601
815	0.2594838917
816	0.259394661
817	0.2593473011
818	0.2591727143
819	0.2590679219
820	0.2588129756
821	0.2586925084
822	0.2586464254
823	0.2585219257
824	0.2583599947
825	0.2581262389
826	0.2579215091
827	0.2578116612
828	0.2576417666
829	0.257532069
830	0.2573569026
831	0.2572546595
832	0.2571265594
833	0.2570077545
834	0.2568416834
835	0.2567761544
836	0.2566406412
837	0.2564570649
838	0.2563413995
839	0.2562588433
840	0.2561618571
841	0.2560755409
842	0.2560092445
843	0.2559204562
844	0.2557022265
845	0.2555571796
846	0.2553505483
847	0.2551573967
848	0.2550692598
849	0.2549873073
850	0.2548292189
851	0.2546875683
852	0.2545738489
853	0.2544450332
854	0.2543033145
855	0.2542047634
856	0.2540418436
857	0.2539849851
858	0.2539009039
859	0.2538212683
860	0.2536494307
861	0.2535531678
862	0.2534770109
863	0.2534168326
864	0.2532606312
865	0.2531240312
866	0.253029988
867	0.2527990343
868	0.2526685604
869	0.2525190968
870	0.2523624588
871	0.2522255126
872	0.252123264
873	0.2520426882
874	0.2518993409
875	0.2517644878
876	0.2515764365
877	0.2514230768
878	0.2513282217
879	0.2512466751
880	0.2510691304
881	0.2509893561
882	0.2508625481
883	0.2506034731
884	0.2504399415
885	0.2503454571
886	0.250193561
887	0.2501418474
888	0.2500046111
889	0.2498688424
890	0.249753879
891	0.2496084844
892	0.2493621577
893	0.2492849626
894	0.2491302937
895	0.2489635271
896	0.2488633759
897	0.248801668
898	0.2486218485
899	0.2485035588
900	0.2483878788
901	0.2482496178
902	0.2481916565
903	0.2481035855
904	0.2479422488
905	0.2478129761
906	0.2475792616
907	0.2474929789
908	0.2473595986
909	0.2473126752
910	0.2472588377
911	0.2471245274
912	0.2469788614
913	0.246855284
914	0.246766474
915	0.2465694961
916	0.2463851007
917	0.2461712327
918	0.2460376635
919	0.2458240523
920	0.2457477446
921	0.2455956911
922	0.2454329656
923	0.2453286529
924	0.2451989378
925	0.2450562604
926	0.2449698333
927	0.2449250176
928	0.2447061027
929	0.2446261949
930	0.244510879
931	0.2444069517
932	0.2443444046
933	0.2442575334
934	0.2441434672
935	0.244073123
936	0.243946549
937	0.243874674
938	0.2436890902
939	0.2435839994
940	0.2434407364
941	0.2433110126
942	0.2431775072
943	0.2430422906
944	0.2429379585
945	0.2428102657
946	0.2426146433
947	0.2425431759
948	0.2424521246
949	0.2423553561
950	0.2422207764
951	0.2421027629
952	0.2420046859
953	0.2418781612
954	0.2418069653
955	0.2417096678
956	0.2415764314
957	0.2413671883
958	0.2412137287
959	0.2410344978
960	0.2408981394
961	0.2407728221
962	0.2406415863
963	0.2405023135
964	0.2403885358
965	0.2403095972
966	0.2402093867
967	0.2401033364
968	0.2400108108
969	0.2399468197
970	0.2397615883
971	0.2396498607
972	0.2395255703
973	0.2392925997
974	0.2391167303
975	0.2390576639
976	0.2389464088
977	0.2387648453
978	0.2386501572
979	0.238535297
980	0.2384534387
981	0.2383276988
982	0.2381814487
983	0.2380591621
984	0.2379707717
985	0.237832008
986	0.23770869
987	0.2375828321
988	0.2374103811
989	0.2372846207
990	0.2371634459
991	0.2370464114
992	0.2368844122
993	0.2367951744
994	0.2366211332
995	0.2365569224
996	0.2364323692
997	0.2362820955
998	0.2361639578
999	0.2360576681
